2026-01-15T19:46:54.788 INFO [Connected]
2026-01-15T19:46:55.197 INFO Device Reached.
2026-01-15T19:46:55.202 INFO Server Started
2026-01-15T19:47:26.205 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:26.205', 'version': '1.0.0'}
2026-01-15T19:47:27.219 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:27.219', 'version': '1.0.0'}
2026-01-15T19:47:28.232 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:28.232', 'version': '1.0.0'}
2026-01-15T19:47:29.258 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:29.257', 'version': '1.0.0'}
2026-01-15T19:47:30.215 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:30.215', 'version': '1.0.0'}
2026-01-15T19:47:31.242 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:31.242', 'version': '1.0.0'}
2026-01-15T19:47:32.261 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:32.261', 'version': '1.0.0'}
2026-01-15T19:47:33.218 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:33.218', 'version': '1.0.0'}
2026-01-15T19:47:34.256 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:34.256', 'version': '1.0.0'}
2026-01-15T19:47:35.209 INFO Status published: {'absolute': True, 'alarm': 0, 'broker': 'Focuser160', 'cmd': {'clientId': 0, 'clientTransactionId': 0, 'clientName': '', 'action': ''}, 'connected': True, 'controller': 'Focuser160', 'device': '2ndMirror', 'error': '', 'homing': False, 'initialized': False, 'isMoving': False, 'maxSpeed': 500, 'maxStep': 50700, 'position': 0, 'tempComp': False, 'tempCompAvailable': False, 'temperature': 0, 'timestamp': '2026-01-15T16:47:35.209', 'version': '1.0.0'}
